"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"CNI35","2016-04-18","4.8","Northern Ireland","2016-04-21","2.3","Satisfactory","1468","6.24","Free Range","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI35","2016-04-18","4.8","Northern Ireland","2016-04-21","2.3","Satisfactory","1468","6.24","Free Range","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","40","CFU/ml Rinse","C. jejuni","1"
"CNI36","2016-04-18","4.8","Northern Ireland","2016-04-22","2.3","Satisfactory","1172","3","Standard","Modified Atmosphere","Other","11","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI36","2016-04-18","4.8","Northern Ireland","2016-04-22","2.3","Satisfactory","1172","3","Standard","Modified Atmosphere","Other","11","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI36","2016-04-18","4.8","Northern Ireland","2016-04-22","2.3","Satisfactory","1172","3","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","<1","CFU/ml Rinse","","1"
"CNI37","2016-04-18","4.8","Northern Ireland","2016-04-22","3.7","Satisfactory","1100","4","Standard","Modified Atmosphere","Other","10","Campylobacter spp - enumeration cfu/g    NS","40","CFU/g Neck","C. jejuni","1"
"CNI37","2016-04-18","4.8","Northern Ireland","2016-04-22","3.7","Satisfactory","1100","4","Standard","Modified Atmosphere","Other","10","Campylobacter spp - enumeration cfu/g    BS","230","CFU/g Back","C. jejuni","1"
"CNI37","2016-04-18","4.8","Northern Ireland","2016-04-22","3.7","Satisfactory","1100","4","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","2040","CFU/ml Rinse","C. jejuni","1"
"CNI38","2016-04-18","4.8","Northern Ireland","2016-04-21","6.7","Satisfactory","1600","5","Standard","Not Modified Atmosphere","Other","16","Campylobacter spp - enumeration cfu/g    NS","50","CFU/g Neck","C. jejuni","1"
"CNI38","2016-04-18","4.8","Northern Ireland","2016-04-21","6.7","Satisfactory","1600","5","Standard","Not Modified Atmosphere","Other","16","Campylobacter spp - enumeration cfu/g    BS","40","CFU/g Back","C. jejuni","1"
"CNI38","2016-04-18","4.8","Northern Ireland","2016-04-21","6.7","Satisfactory","1600","5","Standard","Not Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","100","CFU/ml Rinse","C. jejuni","1"
"CNI39","2016-04-18","4.8","Northern Ireland","2016-04-23","4.5","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI39","2016-04-18","4.8","Northern Ireland","2016-04-23","4.5","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI39","2016-04-18","4.8","Northern Ireland","2016-04-23","4.5","Satisfactory","1750","4.5","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","150","CFU/ml Rinse","C. jejuni","1"
"CNI40","2016-04-18","4.8","Northern Ireland","2016-04-21","6.3","Satisfactory","1200","3.19","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI40","2016-04-18","4.8","Northern Ireland","2016-04-21","6.3","Satisfactory","1200","3.19","Standard","Modified Atmosphere","Other","8","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI40","2016-04-18","4.8","Northern Ireland","2016-04-21","6.3","Satisfactory","1200","3.19","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","<1","CFU/ml Rinse","","1"
